states,final_winning
Alabama,trump
Alaska,trump
Arizona,biden
Arkansas,trump
California,biden
Colorado,biden
Connecticut,biden
Delaware,biden
District of Columbia,biden
Florida,trump
Georgia,biden
Hawaii,biden
Idaho,trump
Illinois,biden
Indiana,trump
Iowa,trump
Kansas,trump
Kentucky,trump
Louisiana,trump
Maine,biden
Maryland,biden
Massachusetts,biden
Michigan,biden
Minnesota,biden
Mississippi,trump
Missouri,trump
Montana,trump
Nebraska,trump
Nevada,biden
New Hampshire,biden
New Jersey,biden
New Mexico,biden
New York,biden
North Carolina,trump
North Dakota,trump
Ohio,trump
Oklahoma,trump
Oregon,biden
Pennsylvania,biden
Puerto Rico,Puerto Rico
Rhode Island,biden
South Carolina,trump
South Dakota,trump
Tennessee,trump
Texas,trump
Utah,trump
Vermont,biden
Virginia,biden
Washington,biden
West Virginia,trump
Wisconsin,biden
Wyoming,trump
